loan_id,amount,gender,district_name,using_time,age,num_trans_be4_loan,total_deposit_be4_loan,total_withdrawal_be4_loan,avg_balance_be4_loan,debit_payment_purpose,avg_salary,unemployment_rate,status,customer_segment
5338,57360,M,Kutna Hora,3,42,300.0,1280524.0,-1143956.0,36887.0667,loan payment,8546.0,2.9,B,2
5351,205200,F,Hl.m. Praha,6,36,516.0,2494172.0,-2041937.5,58336.2868,loan payment,12215.5,0.2,A,2
5352,68400,F,Frydek - Mistek,5,23,14.0,62747.0,-38800.0,31793.6429,loan payment,9893.0,4.0,B,2
5358,38520,M,Havlickuv Brod,4,60,228.0,284548.0,-256570.0,20231.307,household,8388.0,2.4,A,2
5366,86184,F,Karvina,3,59,126.0,1105734.0,-744522.0,60273.7381,loan payment,10177.0,6.6,A,2
5375,101520,F,Hl.m. Praha,3,23,76.0,220784.0,-187344.0,26449.2895,household,12215.5,0.2,A,2
5377,92400,F,Karvina,3,25,312.0,1503882.0,-1097502.0,42291.2981,loan payment,10177.0,6.6,A,2
5388,61560,M,Tachov,3,56,284.0,1423100.0,-1121592.0,32967.6197,loan payment,8930.0,3.5,A,2
5390,170256,F,Jindrichuv Hradec,6,34,154.0,743192.0,-656590.0,40091.2987,household,8427.0,1.1,A,2
5395,240516,F,Bruntal,6,33,378.0,2438277.0,-2041937.5,51992.9444,loan payment,8110.0,5.7,B,2
5398,53472,F,Nymburk,3,65,134.0,1008745.0,-889640.0,64144.5448,loan payment,8899.0,3.3,A,2
5398,53472,M,Nymburk,3,59,134.0,1008745.0,-889640.0,64144.5448,loan payment,8899.0,3.3,A,2
5413,92976,F,Tachov,5,29,218.0,1333830.0,-992152.0,50436.5321,loan payment,8930.0,3.5,A,2
5413,92976,M,Tachov,5,22,218.0,1333830.0,-992152.0,50436.5321,loan payment,8930.0,3.5,A,2
5445,46320,M,Decin,4,20,547.5,2513941.5,-2041937.5,43657.8764,loan payment,8705.0,5.7,A,2
5449,99336,F,Frydek - Mistek,5,19,104.0,256940.0,-195296.0,27019.6346,household,9893.0,4.0,A,2
5453,156672,F,Plzen - sever,5,43,150.0,271774.0,-225238.0,22927.5067,household,8594.0,1.6,A,2
5464,95808,M,Hradec Kralove,6,59,90.0,758894.0,-633650.0,59701.7222,loan payment,9425.0,1.7,A,2
5479,24516,M,Hl.m. Praha,6,41,73.0,630687.0,-414920.0,55582.3288,loan payment,12215.5,0.2,A,2
5519,91632,F,Usti nad Orlici,6,37,140.0,474348.0,-408232.0,40977.0143,household,8363.0,2.5,A,2
5519,91632,M,Usti nad Orlici,6,38,140.0,474348.0,-408232.0,40977.0143,household,8363.0,2.5,A,2
5523,93888,F,Vyskov,6,49,38.0,170032.0,-100600.0,37510.3158,loan payment,8288.0,3.7,A,2
5533,111384,M,Praha - zapad,6,32,456.0,2513941.5,-2041937.5,65097.2961,loan payment,9622.0,0.4,A,2
5576,31248,F,Hl.m. Praha,6,60,120.0,857689.0,-689580.0,64493.2583,loan payment,12215.5,0.2,A,2
5595,82896,F,Semily,6,24,504.0,2513941.5,-2041937.5,57141.8016,loan payment,8208.0,1.8,A,2
5595,82896,M,Semily,6,27,504.0,2513941.5,-2041937.5,57141.8016,loan payment,8208.0,1.8,A,2
5599,15420,F,Hl.m. Praha,6,34,453.0,759504.0,-663924.0,24577.2318,household,12215.5,0.2,A,2
5634,39024,M,Zlin,4,63,408.0,2158923.0,-1951230.0,60290.0588,loan payment,9624.0,1.6,A,2
5638,68124,M,Ostrava - mesto,3,42,102.0,463572.0,-430714.0,28808.9804,household,10673.0,4.7,A,2
5643,94512,M,Ostrava - mesto,4,47,134.0,1131516.0,-1025240.0,48061.8358,loan payment,10673.0,4.7,B,2
5651,19248,F,Beroun,3,28,144.0,595738.0,-508872.0,36066.1667,household,8980.0,1.9,A,2
5651,19248,M,Beroun,3,35,144.0,595738.0,-508872.0,36066.1667,household,8980.0,1.9,A,2
5657,4980,F,Vyskov,6,47,184.0,406796.0,-316796.0,30533.2826,household,8288.0,3.7,A,2
5682,67464,M,Chomutov,3,64,57.0,440991.0,-366205.0,46016.2807,loan payment,9675.0,6.4,A,0
5693,44088,F,Nymburk,5,48,64.0,256144.0,-167408.0,36548.9688,household,8899.0,3.3,A,0
5718,14028,F,Blansko,4,54,468.0,1190994.0,-1035654.0,51802.109,household,8240.0,2.5,A,0
5723,23628,M,Louny,6,45,220.0,1154824.0,-986462.0,47421.0,loan payment,8965.0,7.0,A,0
5739,76380,F,Hl.m. Praha,5,42,180.0,367756.0,-275136.0,26122.7333,household,12215.5,0.2,A,0
5740,18564,F,Hl.m. Praha,5,36,26.0,154932.0,-68400.0,35538.0769,household,12215.5,0.2,A,0
5741,68544,F,Litomerice,3,15,270.0,1267325.0,-826180.0,44948.7963,loan payment,9065.0,4.4,A,0
5741,68544,M,Litomerice,3,23,270.0,1267325.0,-826180.0,44948.7963,loan payment,9065.0,4.4,A,0
5750,63252,F,Melnik,5,50,492.0,2401173.0,-1955964.0,49291.8354,loan payment,9920.0,2.2,A,0
5754,23052,F,Brno - mesto,6,59,547.5,1618170.0,-1475535.0,23772.0409,household,9897.0,1.6,A,0
5754,23052,M,Brno - mesto,6,53,547.5,1618170.0,-1475535.0,23772.0409,household,9897.0,1.6,A,0
5805,137904,M,Praha - zapad,4,31,12.0,55760.0,-20600.0,26886.1667,loan payment,9622.0,0.4,B,0
5836,79632,F,Zdar nad Sazavou,5,40,48.0,733389.0,-464148.0,63494.5625,loan payment,8512.0,3.5,A,0
5856,51360,F,Trebic,3,54,87.0,744278.0,-679751.0,53636.4253,loan payment,8814.0,4.7,B,0
5861,51408,M,Rokycany,6,50,64.0,453747.0,-361820.0,52299.2188,loan payment,8843.0,2.8,A,0
5868,90156,F,Jesenik,3,53,65.0,635729.0,-528520.0,77525.1692,loan payment,8173.0,2.869230769230769,A,0
5868,90156,M,Jesenik,3,51,65.0,635729.0,-528520.0,77525.1692,loan payment,8173.0,2.869230769230769,A,0
5877,97224,F,Pelhrimov,6,48,336.0,690843.0,-632415.0,22360.5625,household,8114.0,2.3,A,0
5877,97224,M,Pelhrimov,6,49,336.0,690843.0,-632415.0,22360.5625,household,8114.0,2.3,A,0
5878,74040,F,Opava,4,43,547.5,2513941.5,-2041937.5,44234.8053,household,8746.0,3.3,A,0
5880,73836,F,Most,4,32,57.0,577362.0,-375000.0,55315.2632,loan payment,10446.0,7.3,A,0
5882,87816,F,Hl.m. Praha,6,33,168.0,396932.0,-365610.0,25533.3095,household,12215.5,0.2,A,0
5882,87816,M,Hl.m. Praha,6,38,168.0,396932.0,-365610.0,25533.3095,household,12215.5,0.2,A,0
5887,192744,F,Prostejov,6,28,76.0,304977.0,-243250.0,37265.6842,loan payment,8441.0,3.4,A,0
5887,192744,M,Prostejov,6,20,76.0,304977.0,-243250.0,37265.6842,loan payment,8441.0,3.4,A,0
5892,66480,M,Opava,4,64,10.0,85492.0,-50600.0,34798.3,loan payment,8746.0,3.3,B,0
5897,15192,F,Karlovy Vary,5,27,547.5,1420408.0,-1351020.0,29941.9763,household,8991.0,1.3,A,0
5918,240516,M,Hodonin,6,35,71.0,250491.0,-216560.0,34084.5352,loan payment,8720.0,3.7,A,0
5922,20220,F,Nymburk,5,26,102.0,526812.0,-464210.0,41077.5686,loan payment,8899.0,3.3,A,0
5932,33348,F,Nymburk,3,29,63.0,377709.0,-298350.0,45807.2063,loan payment,8899.0,3.3,A,0
5959,107640,F,Benesov,4,40,69.0,701346.0,-505368.0,50214.5217,loan payment,8507.0,1.6,A,0
5980,21396,F,Cesky Krumlov,5,24,78.0,193525.0,-113550.0,30813.0,loan payment,9045.0,3.1,A,0
5980,21396,M,Cesky Krumlov,5,31,78.0,193525.0,-113550.0,30813.0,loan payment,9045.0,3.1,A,0
5988,141648,F,Usti nad Orlici,3,54,36.0,342624.0,-165200.0,45100.3889,loan payment,8363.0,2.5,A,0
5988,141648,M,Usti nad Orlici,3,47,36.0,342624.0,-165200.0,45100.3889,loan payment,8363.0,2.5,A,0
5992,76080,F,Kolin,3,20,243.0,1497636.0,-1137879.0,50621.1235,loan payment,9307.0,3.8,A,0
5997,117024,M,Ceske Budejovice,6,64,13.0,118394.0,-65200.0,44131.2308,loan payment,10045.0,1.4,A,0
6004,143904,M,Svitavy,6,48,417.0,1974507.0,-1493751.0,49727.5468,loan payment,8187.0,4.8,A,0
6015,110112,M,Blansko,4,36,164.0,1520104.0,-1179514.0,76232.8537,loan payment,8240.0,2.5,A,0
6019,11400,F,Brno - mesto,4,19,308.0,430508.0,-319244.0,27533.7273,household,9897.0,1.6,A,0
6027,61656,F,Rakovnik,4,46,60.0,629480.0,-331000.0,44763.5,loan payment,8598.0,2.7,B,0
6038,240516,F,Hl.m. Praha,6,59,114.0,777236.0,-486460.0,45414.0351,loan payment,12215.5,0.2,A,0
6059,79824,M,Rakovnik,2,43,62.0,486150.0,-410010.0,49309.2258,loan payment,8598.0,2.7,A,0
6064,14628,F,Brno - venkov,6,50,510.0,1130995.0,-956485.0,32788.2353,household,8743.0,1.8,A,0
6066,173808,F,Vsetin,6,42,75.0,699589.0,-540700.0,61218.7867,loan payment,8909.0,4.0,A,0
6066,173808,M,Vsetin,6,49,75.0,699589.0,-540700.0,61218.7867,loan payment,8909.0,4.0,A,0
6072,193968,M,Olomouc,6,27,29.0,286179.0,-205400.0,63579.1379,loan payment,8994.0,3.8,A,0
6077,79608,M,Chrudim,6,29,53.0,518282.0,-360790.0,69954.6226,loan payment,8254.0,2.7,A,0
6111,174744,F,Karlovy Vary,6,51,32.0,213997.0,-143645.0,37485.5313,loan payment,8991.0,1.3,B,0
6112,174744,F,Kolin,6,21,472.0,1754512.0,-1562276.0,26252.8898,loan payment,9307.0,3.8,B,0
6120,209184,M,Hl.m. Praha,6,46,68.0,513027.0,-417420.0,46230.4265,loan payment,12215.5,0.2,A,0
6137,44628,M,Rakovnik,5,56,292.0,2159202.0,-1721856.0,49477.4178,loan payment,8598.0,2.7,A,0
6144,44376,M,Cesky Krumlov,3,37,78.0,666204.0,-381282.0,53505.359,loan payment,9045.0,3.1,A,0
6150,83016,M,Hodonin,6,20,547.5,2513941.5,-2041937.5,67891.9439,loan payment,8720.0,3.7,A,0
6157,98592,F,Praha - vychod,4,36,52.0,324864.0,-237120.0,54128.7692,loan payment,10124.0,0.5,A,0
6185,31176,M,Hl.m. Praha,4,31,69.0,387417.0,-235473.0,46304.2174,household,12215.5,0.2,A,0
6202,65184,M,Beroun,6,42,82.0,524878.0,-405350.0,47426.4878,loan payment,8980.0,1.9,A,0
6210,87216,M,Cesky Krumlov,6,35,33.0,77530.0,-52730.0,28362.303,loan payment,9045.0,3.1,B,0
6216,141240,M,Svitavy,6,37,510.0,2497250.0,-1941690.0,57219.7059,loan payment,8187.0,4.8,A,0
6223,61056,F,Hodonin,6,42,192.0,592338.0,-491769.0,36039.1406,household,8720.0,3.7,A,0
6227,28248,F,Pardubice,6,29,94.0,398116.0,-364390.0,45582.4043,loan payment,9538.0,1.5,A,0
6228,240516,F,Vsetin,6,59,68.0,497104.0,-289510.0,51760.0882,loan payment,8909.0,4.0,B,0
6229,11736,M,Hl.m. Praha,6,61,532.0,1658708.0,-1550788.0,42224.4887,household,12215.5,0.2,A,0
6232,240516,M,Breclav,6,50,58.0,111372.0,-91590.0,19257.0,loan payment,8772.0,4.6,B,0
6244,240516,M,Hl.m. Praha,5,62,72.0,492011.0,-441010.0,60819.9722,loan payment,12215.5,0.2,B,0
6253,59760,F,Ostrava - mesto,6,35,108.0,489076.0,-406810.0,40204.463,household,10673.0,4.7,A,0
6253,59760,M,Ostrava - mesto,6,41,108.0,489076.0,-406810.0,40204.463,household,10673.0,4.7,A,0
6279,87360,M,Louny,6,37,30.0,136714.0,-99530.0,36783.9667,loan payment,8965.0,7.0,A,0
6297,17508,M,Pribram,6,53,72.0,198355.0,-150330.0,39290.625,loan payment,8754.0,3.8,A,0
6303,72408,F,Tachov,4,41,52.0,436656.0,-291200.0,45099.4615,loan payment,8930.0,3.5,B,0
6306,36684,F,Karvina,6,21,125.0,315586.0,-280500.0,30229.936,loan payment,10177.0,6.6,A,0
6309,110136,F,Hl.m. Praha,4,41,126.0,775364.0,-693872.0,50815.7778,loan payment,12215.5,0.2,A,0
6310,34572,F,Hl.m. Praha,3,23,40.0,309029.0,-188060.0,60619.4,loan payment,12215.5,0.2,A,0
6315,43164,F,Trebic,5,23,69.0,505171.0,-415220.0,68376.942,loan payment,8814.0,4.7,A,0
6316,76908,F,Kladno,6,53,102.0,666800.0,-549480.0,52890.5196,loan payment,9753.0,4.6,B,0
6336,212400,F,Louny,6,33,71.0,433318.0,-343370.0,51034.3662,loan payment,8965.0,7.0,A,0
6342,60156,M,Jindrichuv Hradec,4,23,168.0,1441743.0,-1171740.0,72667.5,loan payment,8427.0,1.1,B,0
6356,95400,M,Kolin,6,28,47.0,257545.0,-204080.0,41562.5106,loan payment,9307.0,3.8,A,0
6362,37908,F,Uherske Hradiste,5,23,76.0,307506.0,-232850.0,42164.0526,loan payment,8544.0,1.2,A,0
6377,17184,F,Hl.m. Praha,3,55,280.0,606940.0,-443848.0,29906.6571,household,12215.5,0.2,A,0
6407,25944,F,Usti nad Labem,6,39,37.0,232739.0,-163340.0,56927.5405,loan payment,9832.0,3.3,A,0
6456,47016,F,Nachod,6,42,84.0,573368.0,-444848.0,60382.2381,loan payment,8369.0,1.7,A,1
6460,48672,F,Brno - venkov,6,51,485.0,440315.0,-324785.0,23050.2268,household,8743.0,1.8,A,1
6460,48672,M,Brno - venkov,6,51,485.0,440315.0,-324785.0,23050.2268,household,8743.0,1.8,A,1
6471,155640,F,Kolin,4,56,525.0,1622135.0,-1419675.0,45183.3333,household,9307.0,3.8,A,1
6499,80952,F,Hl.m. Praha,6,59,108.0,457392.0,-304240.0,33312.6667,loan payment,12215.5,0.2,A,1
6499,80952,M,Hl.m. Praha,6,54,108.0,457392.0,-304240.0,33312.6667,loan payment,12215.5,0.2,A,1
6501,30276,F,Tabor,4,60,92.0,243761.0,-190520.0,31318.9022,loan payment,9104.0,1.5,B,1
6502,30276,M,Frydek - Mistek,3,37,547.5,2513941.5,-2041937.5,61588.4024,loan payment,9893.0,4.0,A,1
6509,55368,F,Zlin,6,60,98.0,432631.0,-264250.0,46061.3776,loan payment,9624.0,1.6,A,1
6512,63312,F,Tachov,6,43,246.0,290214.0,-204561.0,22551.8415,household,8930.0,3.5,A,1
6520,91200,F,Most,6,44,72.0,392698.0,-250964.0,32558.6111,loan payment,10446.0,7.3,A,1
6520,91200,M,Most,6,41,72.0,392698.0,-250964.0,32558.6111,loan payment,10446.0,7.3,A,1
6526,240516,F,Vyskov,5,41,17.0,95840.0,-47000.0,36999.4118,loan payment,8288.0,3.7,A,1
6535,41952,M,Hradec Kralove,5,27,420.0,1286328.0,-1042920.0,41502.0286,loan payment,9425.0,1.7,A,1
6546,31728,F,Hl.m. Praha,6,49,234.0,638064.0,-572460.0,31139.8034,household,12215.5,0.2,A,1
6546,31728,M,Hl.m. Praha,6,49,234.0,638064.0,-572460.0,31139.8034,household,12215.5,0.2,A,1
6577,51696,F,Ostrava - mesto,6,31,102.0,728067.0,-576465.0,58226.5196,loan payment,10673.0,4.7,A,1
6578,27984,M,Usti nad Orlici,5,50,152.0,572394.0,-460480.0,30639.9737,loan payment,8363.0,2.5,A,1
6580,196080,M,Cheb,6,41,47.0,289533.0,-174875.0,49143.7872,loan payment,8624.0,1.7,A,1
6589,189696,F,Prachatice,4,55,356.0,2239040.0,-1746368.0,54136.9663,loan payment,8402.0,3.1,A,1
6589,189696,M,Prachatice,4,54,356.0,2239040.0,-1746368.0,54136.9663,loan payment,8402.0,3.1,A,1
6594,189696,F,Prostejov,5,29,15.0,67500.0,0.0,14900.0,loan payment,8441.0,3.4,B,1
6596,91584,F,Decin,6,48,31.0,257466.0,-154130.0,50765.2581,loan payment,8705.0,5.7,A,1
6598,68112,F,Jablonec n. Nisou,6,22,547.5,2513941.5,-2041937.5,47220.1361,loan payment,8867.0,1.0,A,1
6599,72120,F,Usti nad Orlici,4,47,102.0,782538.0,-608625.0,75686.0882,loan payment,8363.0,2.5,A,1
6599,72120,M,Usti nad Orlici,4,40,102.0,782538.0,-608625.0,75686.0882,loan payment,8363.0,2.5,A,1
6600,21852,M,Chomutov,4,45,90.0,522705.0,-308205.0,38508.8333,household,9675.0,6.4,A,1
6612,97392,F,Karvina,3,38,162.0,761600.0,-712240.0,36685.1111,loan payment,10177.0,6.6,A,1
6612,97392,M,Karvina,3,39,162.0,761600.0,-712240.0,36685.1111,loan payment,10177.0,6.6,A,1
6613,84120,F,Jesenik,3,49,19.0,172283.0,-108330.0,56910.7895,loan payment,8173.0,2.869230769230769,A,1
6621,42900,F,Trutnov,4,39,525.0,2513941.5,-2041937.5,50590.6229,loan payment,8541.0,2.5,A,1
6621,42900,M,Trutnov,4,35,525.0,2513941.5,-2041937.5,50590.6229,loan payment,8541.0,2.5,A,1
6624,71460,F,Brno - venkov,6,56,86.0,525358.0,-360264.0,47991.4651,loan payment,8743.0,1.8,A,1
6624,71460,M,Brno - venkov,6,54,86.0,525358.0,-360264.0,47991.4651,loan payment,8743.0,1.8,A,1
6642,77640,M,Plzen - jih,6,32,60.0,413087.0,-312880.0,55570.3167,loan payment,8561.0,0.6,A,1
6644,93600,M,Nymburk,4,27,220.0,916676.0,-811740.0,40078.7636,loan payment,8899.0,3.3,A,1
6645,140400,M,Ostrava - mesto,6,58,45.0,261447.0,-233175.0,43563.6,loan payment,10673.0,4.7,A,1
6647,208320,F,Tachov,6,31,85.0,423055.0,-324530.0,43945.0471,loan payment,8930.0,3.5,A,1
6647,208320,M,Tachov,6,39,85.0,423055.0,-324530.0,43945.0471,loan payment,8930.0,3.5,A,1
6650,49320,F,Karlovy Vary,6,54,147.0,798813.0,-704130.0,46576.3061,loan payment,8991.0,1.3,B,1
6667,155880,F,Litomerice,5,31,284.0,1782244.0,-1549440.0,63263.2324,loan payment,9065.0,4.4,A,1
6667,155880,M,Litomerice,5,31,284.0,1782244.0,-1549440.0,63263.2324,loan payment,9065.0,4.4,A,1
6668,74736,M,Jicin,6,34,134.0,582108.0,-515624.0,37913.1194,household,8390.0,2.2,A,1
6676,29784,F,Plzen - mesto,4,30,36.0,181860.0,-68100.0,27625.8333,household,10787.0,2.6,A,1
6676,29784,M,Plzen - mesto,4,26,36.0,181860.0,-68100.0,27625.8333,household,10787.0,2.6,A,1
6678,80340,F,Hl.m. Praha,6,23,52.0,446746.0,-331075.0,61531.6731,loan payment,12215.5,0.2,A,1
6678,80340,M,Hl.m. Praha,6,21,52.0,446746.0,-331075.0,61531.6731,loan payment,12215.5,0.2,A,1
6686,224604,F,Tachov,6,20,93.0,696154.0,-585280.0,57496.8817,loan payment,8930.0,3.5,A,1
6686,224604,M,Tachov,6,23,93.0,696154.0,-585280.0,57496.8817,loan payment,8930.0,3.5,A,1
6687,87840,F,Rakovnik,6,19,85.0,513235.0,-294000.0,46318.6471,loan payment,8598.0,2.7,A,1
6687,87840,M,Rakovnik,6,14,85.0,513235.0,-294000.0,46318.6471,loan payment,8598.0,2.7,A,1
6694,134784,F,Karvina,5,59,55.0,264676.0,-217390.0,44005.1636,loan payment,10177.0,6.6,A,1
6699,7656,F,Rychnov nad Kneznou,6,37,162.0,557718.0,-485018.0,46444.7778,household,9060.0,1.7,A,1
6699,7656,M,Rychnov nad Kneznou,6,40,162.0,557718.0,-485018.0,46444.7778,household,9060.0,1.7,A,1
6721,21072,F,Pelhrimov,6,35,45.0,117504.0,-24900.0,21575.6,household,8114.0,2.3,A,1
6725,240516,F,Trutnov,6,51,296.0,824488.0,-753910.0,35566.9662,household,8541.0,2.5,A,1
6725,240516,M,Trutnov,6,49,296.0,824488.0,-753910.0,35566.9662,household,8541.0,2.5,A,1
6727,42840,M,Karvina,2,62,45.0,160927.0,-103160.0,35642.2222,loan payment,10177.0,6.6,A,1
6729,74688,F,Cheb,6,54,224.0,1322708.0,-1179224.0,48484.6875,loan payment,8624.0,1.7,A,1
6729,74688,M,Cheb,6,49,224.0,1322708.0,-1179224.0,48484.6875,loan payment,8624.0,1.7,A,1
6737,76680,F,Frydek - Mistek,6,45,429.0,2159523.0,-1803552.0,62933.5385,loan payment,9893.0,4.0,A,1
6737,76680,M,Frydek - Mistek,6,50,429.0,2159523.0,-1803552.0,62933.5385,loan payment,9893.0,4.0,A,1
6738,230220,F,Ostrava - mesto,6,57,246.0,893712.0,-804735.0,27658.4878,loan payment,10673.0,4.7,B,1
6745,47304,M,Zlin,6,28,334.0,2378390.0,-2020478.0,68740.1138,loan payment,9624.0,1.6,A,1
6753,67980,F,Zdar nad Sazavou,3,53,14.0,80206.0,-24500.0,34806.8571,loan payment,8512.0,3.5,A,1
6758,33144,F,Karvina,2,19,128.0,424696.0,-297928.0,32407.625,household,10177.0,6.6,A,1
6758,33144,M,Karvina,2,23,128.0,424696.0,-297928.0,32407.625,household,10177.0,6.6,A,1
6808,227880,F,Zlin,6,44,83.0,365366.0,-298465.0,45134.7831,loan payment,9624.0,1.6,A,1
6808,227880,M,Zlin,6,46,83.0,365366.0,-298465.0,45134.7831,loan payment,9624.0,1.6,A,1
6820,38148,F,Hl.m. Praha,6,34,116.0,580884.0,-357852.0,37462.1724,loan payment,12215.5,0.2,A,1
6841,172080,F,Praha - vychod,5,42,42.0,267849.0,-197560.0,60744.119,loan payment,10124.0,0.5,A,1
6863,127080,M,Jicin,6,63,96.0,300584.0,-219492.0,30061.0417,loan payment,8390.0,2.2,A,1
6865,29448,M,Olomouc,3,52,11.0,67392.0,-23600.0,28977.4545,loan payment,8994.0,3.8,B,1
6876,86616,M,Praha - zapad,6,38,45.0,175659.0,-63900.0,25714.1333,household,9622.0,0.4,A,1
6878,23184,F,Hodonin,3,20,58.0,99593.0,-57095.0,36729.7759,loan payment,8720.0,3.7,A,1
6887,39576,F,Frydek - Mistek,3,35,225.0,725655.0,-579363.0,30719.6933,loan payment,9893.0,4.0,A,1
6887,39576,M,Frydek - Mistek,3,29,225.0,725655.0,-579363.0,30719.6933,loan payment,9893.0,4.0,A,1
6888,39576,F,Ceska Lipa,6,19,345.0,1463340.0,-1391649.0,48944.8261,loan payment,9272.0,2.8,A,1
6895,41904,M,Karvina,6,25,429.0,1500447.0,-1192080.0,36080.3776,loan payment,10177.0,6.6,A,1
6903,52128,F,Praha - zapad,6,40,71.0,243550.0,-139777.0,33459.6479,loan payment,9622.0,0.4,A,1
6919,120888,F,Hl.m. Praha,6,55,192.0,944920.0,-732980.0,40838.7396,loan payment,12215.5,0.2,A,1
6921,86184,F,Karvina,3,59,126.0,1105725.0,-734022.0,59935.5238,loan payment,10177.0,6.6,A,1
6929,36396,M,Sumperk,6,27,316.0,1898956.0,-1799462.0,57977.0443,loan payment,8369.0,4.7,A,1
6934,116832,F,Tabor,3,51,92.0,265244.0,-223770.0,23391.8043,household,9104.0,1.5,A,1
6934,116832,M,Tabor,3,54,92.0,265244.0,-223770.0,23391.8043,household,9104.0,1.5,A,1
6942,18324,F,Kromeriz,3,48,172.0,676226.0,-613758.0,31402.2326,household,8444.0,3.2,A,1
6942,18324,M,Kromeriz,3,54,172.0,676226.0,-613758.0,31402.2326,household,8444.0,3.2,A,1
6949,104712,F,Tachov,5,29,216.0,1328234.0,-987552.0,52379.1574,loan payment,8930.0,3.5,A,1
